word1,word2,sim
book,topic,2.00
formula,equation,6.92
book,information,2.31
boy,partner,1.31
sky,univesky,0.77
charcoal,coal,0.92
log,timber,4.85
spoon,cup,1.15
body,nerve,1.92
man,husband,3.54
bone,neck,2.15
frustration,anger,5.92
river,sea,3.31
task,job,7.00
club,society,5.77
reflection,image,4.77
prince,king,3.85
snow,weather,4.38
people,party,2.31
boy,brother,3.62
root,grass,2.69
brow,eye,2.23
money,pearl,1.62
money,diamond,2.31
vehicle,bus,5.46
cab,bus,3.15
house,barn,92
happiness,luck,5.92
president,mayor,3.85
book,essay,2.69
man,warrior,3.15
article,journal,4.85
breakfast,supper,3.23
crowd,parade,2.85
aisle,hallway,5.92
teacher,rabbi,3.38
hip,lip,2.08
book,article,3.31
room,cell,3.15
box,booth,3.46
daughter,kid,5.00
limb,leg,4.54
liver,lung,2.38
classroom,hallway,2.38
mountain,ledge,2.00
car,elevator,0.62
bed,couch,1.85
clothes,button,2.23
clothes,coat,4.92
kidney,organ,4.15
apple,sauce,2.00
chicken,stchicken,2.00
nail,hand,2.92
dog,horse,1.00
arm,neck,1.23
ball,glove,1.77
flu,fever,4.08
fee,salary,2.92
nerve,brain,2.85
beast,animal,5.31
dinner,chicken,1.46
girl,maid,2.46
child,boy,5.00
alcohol,wine,4.85
nose,mouth,2.08
street,car,1.62
bell,door,1.62
box,hat,1.08
belief,impression,3.38
bias,opinion,3.85
attention,awareness,5.92
anger,mood,3.69
elegance,style,4.23
beauty,age,2.54
book,theme,1.62
friend,mother,0.00
ignore,avoid,7.92
carry,bring,4.77
leave,enter,0.62
choose,elect,8.15
lose,fail,7.85
encourage,discourage,0.00
achieve,accomplish,8.38
make,construct,8.00
listen,obey,4.62
inform,notify,9.15
receive,give,1.54
borrow,beg,2.92
take,obtain,4.00
advise,recommend,5.15
imitate,portray,3.31
win,succeed,6.77
think,decide,2.77
greet,meet,5.46
agree,argue,0.92
enjoy,entertain,4.85
destroy,make,0.92
save,protect,6.38
give,lend,4.23
keep,possess,2.38
accept,denyaccept,1.69
kill,choke,3.15
acquire,get,5.00
participate,join,5.92
leave,remain,0.08
go,allow,0.92
take,possess,4.85
learn,listen,2.31
destroy,construct,0.00
create,build,6.54
steal,buy,0.00
keep,protect,3.31
explain,prove,4.46
assume,pretend,2.38
agree,please,1.15
forgive,forget,3.69
clarify,explain,7.69
understand,forgive,2.23
remind,forget,0.62
get,remain,2.00
realize,discover,3.15
require,inquire,1.69
ignore,ask,1.54
think,inquire,2.08
reject,avoid,5.92
argue,persuade,4.08
pursue,persuade,2.31
accept,forgive,3.31
do,quit,0.62
investigate,examine,6.77
discuss,explain,5.23
owe,lend,1.00
explore,discover,6.38
communicate,pray,2.38
give,steal,1.31
add,build,2.85
bring,restore,2.77
comprehend,satisfy,2.31
portray,decide,1.92
organize,become,1.85
give,know,0.77
say,verify,2.69
cooperate,join,4.23
arrange,require,1.85
borrow,want,2.00
investigate,pursue,5.31
ignore,explore,0.69
bring,complain,1.15
enter,owe,1.00
portray,notify,1.62
remind,sell,0.69
absorb,possess,3.15
join,acquire,2.15
send,attend,2.08
gather,attend,2.85
absorb,withdraw,5.31
